variant,threads,n,max_iter,tau,tol,iterations,residual,time_sec,schedule,chunk,speedup,efficiency
1,1,10000,20000,0.020000,0.000000,234,0.000000,26.673430,static,0,1.000000,1.000000
1,2,10000,20000,0.020000,0.000000,234,0.000000,13.379009,static,0,1.993678,0.996839
1,3,10000,20000,0.020000,0.000000,234,0.000000,8.939032,static,0,2.983928,0.994643
1,4,10000,20000,0.020000,0.000000,234,0.000000,6.724898,static,0,3.966369,0.991592
1,5,10000,20000,0.020000,0.000000,234,0.000000,5.451608,static,0,4.892764,0.978553
1,6,10000,20000,0.020000,0.000000,234,0.000000,4.661515,static,0,5.722052,0.953675
1,7,10000,20000,0.020000,0.000000,234,0.000000,4.019771,static,0,6.635560,0.947937
1,8,10000,20000,0.020000,0.000000,234,0.000000,3.732451,static,0,7.146358,0.893295
1,9,10000,20000,0.020000,0.000000,234,0.000000,3.210650,static,0,8.307797,0.923089
1,10,10000,20000,0.020000,0.000000,234,0.000000,2.942783,static,0,9.064015,0.906401
1,11,10000,20000,0.020000,0.000000,234,0.000000,2.830723,static,0,9.422833,0.856621
1,12,10000,20000,0.020000,0.000000,234,0.000000,2.770618,static,0,9.627249,0.802271
1,13,10000,20000,0.020000,0.000000,234,0.000000,2.496572,static,0,10.684023,0.821848
1,14,10000,20000,0.020000,0.000000,234,0.000000,2.372974,static,0,11.240507,0.802893
1,15,10000,20000,0.020000,0.000000,234,0.000000,2.243652,static,0,11.888400,0.792560
1,16,10000,20000,0.020000,0.000000,234,0.000000,2.179035,static,0,12.240937,0.765059
1,17,10000,20000,0.020000,0.000000,234,0.000000,2.002299,static,0,13.321402,0.783612
1,18,10000,20000,0.020000,0.000000,234,0.000000,1.986938,static,0,13.424390,0.745799
1,19,10000,20000,0.020000,0.000000,234,0.000000,1.890510,static,0,14.109118,0.742585
1,20,10000,20000,0.020000,0.000000,234,0.000000,1.959339,static,0,13.613485,0.680674
1,21,10000,20000,0.020000,0.000000,234,0.000000,1.895296,static,0,14.073490,0.670166
1,22,10000,20000,0.020000,0.000000,234,0.000000,1.843552,static,0,14.468498,0.657659
1,23,10000,20000,0.020000,0.000000,234,0.000000,1.718841,static,0,15.518264,0.674707
1,24,10000,20000,0.020000,0.000000,234,0.000000,1.728693,static,0,15.429825,0.642909
1,25,10000,20000,0.020000,0.000000,234,0.000000,1.706599,static,0,15.629583,0.625183
1,26,10000,20000,0.020000,0.000000,234,0.000000,1.577535,static,0,16.908295,0.650319
1,27,10000,20000,0.020000,0.000000,234,0.000000,1.660119,static,0,16.067179,0.595081
1,28,10000,20000,0.020000,0.000000,234,0.000000,1.538528,static,0,17.336981,0.619178
1,29,10000,20000,0.020000,0.000000,234,0.000000,1.521182,static,0,17.534676,0.604644
1,30,10000,20000,0.020000,0.000000,234,0.000000,2.340681,static,0,11.395585,0.379853
1,31,10000,20000,0.020000,0.000000,234,0.000000,2.279518,static,0,11.701347,0.377463
1,32,10000,20000,0.020000,0.000000,234,0.000000,2.202485,static,0,12.110608,0.378456
1,33,10000,20000,0.020000,0.000000,234,0.000000,2.152747,static,0,12.390416,0.375467
1,34,10000,20000,0.020000,0.000000,234,0.000000,2.096344,static,0,12.723785,0.374229
1,35,10000,20000,0.020000,0.000000,234,0.000000,2.021342,static,0,13.195901,0.377026
1,36,10000,20000,0.020000,0.000000,234,0.000000,1.939389,static,0,13.753521,0.382042
1,37,10000,20000,0.020000,0.000000,234,0.000000,1.888195,static,0,14.126417,0.381795
1,38,10000,20000,0.020000,0.000000,234,0.000000,1.870745,static,0,14.258186,0.375215
1,39,10000,20000,0.020000,0.000000,234,0.000000,1.870923,static,0,14.256829,0.365560
1,40,10000,20000,0.020000,0.000000,234,0.000000,1.871495,static,0,14.252472,0.356312
1,41,10000,20000,0.020000,0.000000,234,0.000000,1.871771,static,0,14.250371,0.347570
1,42,10000,20000,0.020000,0.000000,234,0.000000,1.871210,static,0,14.254642,0.339396
1,43,10000,20000,0.020000,0.000000,234,0.000000,1.855152,static,0,14.378030,0.334373
1,44,10000,20000,0.020000,0.000000,234,0.000000,1.785663,static,0,14.937551,0.339490
1,45,10000,20000,0.020000,0.000000,234,0.000000,1.738976,static,0,15.338584,0.340857
1,46,10000,20000,0.020000,0.000000,234,0.000000,1.699764,static,0,15.692431,0.341140
1,47,10000,20000,0.020000,0.000000,234,0.000000,1.646294,static,0,16.202105,0.344726
1,48,10000,20000,0.020000,0.000000,234,0.000000,1.624124,static,0,16.423271,0.342151
1,49,10000,20000,0.020000,0.000000,234,0.000000,1.585386,static,0,16.824567,0.343359
1,50,10000,20000,0.020000,0.000000,234,0.000000,1.565530,static,0,17.037955,0.340759
1,51,10000,20000,0.020000,0.000000,234,0.000000,1.551684,static,0,17.189989,0.337059
1,52,10000,20000,0.020000,0.000000,234,0.000000,1.500061,static,0,17.781563,0.341953
1,53,10000,20000,0.020000,0.000000,234,0.000000,1.493736,static,0,17.856857,0.336922
1,54,10000,20000,0.020000,0.000000,234,0.000000,1.429512,static,0,18.659116,0.345539
1,55,10000,20000,0.020000,0.000000,234,0.000000,1.409571,static,0,18.923085,0.344056
1,56,10000,20000,0.020000,0.000000,234,0.000000,1.411491,static,0,18.897344,0.337453
1,57,10000,20000,0.020000,0.000000,234,0.000000,1.412959,static,0,18.877708,0.331188
1,58,10000,20000,0.020000,0.000000,234,0.000000,1.408583,static,0,18.936358,0.326489
1,59,10000,20000,0.020000,0.000000,234,0.000000,1.409597,static,0,18.922736,0.320724
1,60,10000,20000,0.020000,0.000000,234,0.000000,1.396059,static,0,19.106234,0.318437
1,61,10000,20000,0.020000,0.000000,234,0.000000,1.357384,static,0,19.650615,0.322141
1,62,10000,20000,0.020000,0.000000,234,0.000000,1.329943,static,0,20.056067,0.323485
1,63,10000,20000,0.020000,0.000000,234,0.000000,1.315676,static,0,20.273552,0.321802
1,64,10000,20000,0.020000,0.000000,234,0.000000,1.314141,static,0,20.297235,0.317144
1,65,10000,20000,0.020000,0.000000,234,0.000000,1.284610,static,0,20.763834,0.319444
1,66,10000,20000,0.020000,0.000000,234,0.000000,1.430238,static,0,18.649644,0.282570
1,67,10000,20000,0.020000,0.000000,234,0.000000,1.330543,static,0,20.047025,0.299209
1,68,10000,20000,0.020000,0.000000,234,0.000000,1.958613,static,0,13.618531,0.200273
1,69,10000,20000,0.020000,0.000000,234,0.000000,1.818584,static,0,14.667142,0.212567
1,70,10000,20000,0.020000,0.000000,234,0.000000,2.131318,static,0,12.514994,0.178786
