threads,T_serial,T_parallel,speedup,efficiency
1,2.548406905,1.618287262,1.582646013,1.582646013
2,2.548406905,0.810238404,3.177447938,1.588723969
3,2.548406905,0.537040561,4.808001539,1.602667180
4,2.548406905,0.392835163,6.579178336,1.644794584
5,2.548406905,0.310582218,8.364409346,1.672881869
6,2.548406905,0.256759203,10.158624000,1.693104000
7,2.548406905,0.222981225,11.748411021,1.678344432
8,2.548406905,0.209646656,12.602221997,1.575277750
9,2.548406905,0.203379826,12.958219213,1.439802135
10,2.548406905,0.193240339,13.680406182,1.368040618
11,2.548406905,0.189315321,13.965422082,1.269583826
12,2.548406905,0.183717101,14.445642365,1.203803530
13,2.548406905,0.181968958,14.568551573,1.120657813
14,2.548406905,0.178920193,14.815488640,1.058249189
15,2.548406905,0.178083021,14.812326921,0.987488461
16,2.548406905,0.175693311,15.021310364,0.938831898
17,2.548406905,0.174694424,15.086855202,0.887462071
18,2.548406905,0.174122849,15.056951397,0.836497300
19,2.548406905,0.172448233,15.206472474,0.800340657
20,2.548406905,0.172101444,15.143374312,0.757168716
21,2.548406905,0.172320176,15.107068218,0.719384201
22,2.548406905,0.171987864,15.195437400,0.690701700
23,2.548406905,0.169984463,15.414903224,0.670213184
24,2.548406905,0.166485377,15.767766773,0.656990282
25,2.548406905,0.166856473,15.786780319,0.631471213
26,2.548406905,0.164007963,16.038983870,0.616883995
27,2.548406905,0.163764770,16.072674339,0.595284235
28,2.548406905,0.163621725,16.096036801,0.574858457
29,2.548406905,0.163631936,16.163409016,0.557358932
30,2.548406905,0.163289024,16.221353105,0.540711770
31,2.548406905,0.163952687,16.156627880,0.521181545
32,2.548406905,0.164978640,16.028901109,0.500903160
33,2.548406905,0.165036853,16.053246976,0.486462030
34,2.548406905,0.167009783,15.928716315,0.468491656
35,2.548406905,0.167110982,15.880671882,0.453733482
36,2.548406905,0.170032875,15.648390271,0.434677508
37,2.548406905,0.167066226,15.800155705,0.427031235
38,2.548406905,0.168595317,15.665844955,0.412259078
39,2.548406905,0.168407399,15.692858422,0.402380985
40,2.548406905,0.168798787,15.643161279,0.391079032
