variant,threads,n,max_iter,tau,tol,iterations,residual,time_sec,schedule,chunk,speedup,efficiency
1,1,10000,20000,0.020000,0.000000,234,0.000000,32.178000,static,0,1.000000,1.000000
1,2,10000,20000,0.020000,0.000000,234,0.000000,22.548000,static,0,1.427089,0.713544
1,3,10000,20000,0.020000,0.000000,234,0.000000,21.777000,static,0,1.477614,0.492538
1,4,10000,20000,0.020000,0.000000,234,0.000000,19.836000,static,0,1.622202,0.405551
1,5,10000,20000,0.020000,0.000000,234,0.000000,19.049000,static,0,1.689223,0.337845
1,6,10000,20000,0.020000,0.000000,234,0.000000,19.207000,static,0,1.675327,0.279221
1,7,10000,20000,0.020000,0.000000,234,0.000000,16.703000,static,0,1.926480,0.275211
1,8,10000,20000,0.020000,0.000000,234,0.000000,15.008000,static,0,2.144057,0.268007
1,9,10000,20000,0.020000,0.000000,234,0.000000,14.345000,static,0,2.243151,0.249239
1,10,10000,20000,0.020000,0.000000,234,0.000000,14.394000,static,0,2.235515,0.223551
1,11,10000,20000,0.020000,0.000000,234,0.000000,14.831000,static,0,2.169645,0.197240
1,12,10000,20000,0.020000,0.000000,234,0.000000,14.103000,static,0,2.281642,0.190137
2,1,10000,20000,0.020000,0.000000,234,0.000000,36.147000,static,0,1.000000,1.000000
2,2,10000,20000,0.020000,0.000000,234,0.000000,22.336000,static,0,1.618329,0.809165
2,3,10000,20000,0.020000,0.000000,234,0.000000,19.839000,static,0,1.822017,0.607339
2,4,10000,20000,0.020000,0.000000,234,0.000000,20.209000,static,0,1.788659,0.447165
2,5,10000,20000,0.020000,0.000000,234,0.000000,19.523000,static,0,1.851508,0.370302
2,6,10000,20000,0.020000,0.000000,234,0.000000,16.658000,static,0,2.169948,0.361658
2,7,10000,20000,0.020000,0.000000,234,0.000000,14.728000,static,0,2.454305,0.350615
2,8,10000,20000,0.020000,0.000000,234,0.000000,13.691000,static,0,2.640202,0.330025
2,9,10000,20000,0.020000,0.000000,234,0.000000,13.515000,static,0,2.674584,0.297176
2,10,10000,20000,0.020000,0.000000,234,0.000000,12.816000,static,0,2.820459,0.282046
2,11,10000,20000,0.020000,0.000000,234,0.000000,13.273000,static,0,2.723348,0.247577
2,12,10000,20000,0.020000,0.000000,234,0.000000,12.540000,static,0,2.882536,0.240211
